Biologie 1. kolo 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obor;Druh;Jméno;Přijmení;Číslo jednací;Rodné číslo;2;3;25;40;64;94;114;118;128;138;164;190;192;204;236;241;248;249;250;255;273;276;289;290;331;354;390;395;402;406;409;421;441;486;529;547;575;576;580;602;623;638;643;652;716;768;775;816;826;831;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
LEK;11;Adam;Mikroskop;21;21;AX;AX;D;B;BD;D;BC;AB;C;BC;CD;CX;AB;B;AX;AX;B;B;D;A;CD;AX;AD;CX;C;BD;ABC;AB;C;AD;BCX;A;CD;C;A;AX;D;BD;B;A;B;ABX;A;;AX;D;ABX;CX;ABC;A;BDX;B;DX;CD;C;A;AC;BD;AD;DX;BC;C;BX;DX;BD;CX;DX;C;D;C;A;D;A;BX;AD;ACD;BC;BX;B;D;BD;D;BC;B;C;C;AD;A;BX;ADX;DX;AB;A;CD;BCDX;B;B;AX;AD;DX
LEK;11;Adéla;Periskopová;22;22;AX;AX;C;AB;BX;AX;BX;ABCX;DX;ACD;ABDX;A;A;ABCDX;AX;AX;AX;AC;A;AC;AX;AX;ABDX;B;AX;ABCX;ACX;ADX;CDX;A;BCX;ACX;ACD;AX;BX;AX;C;ABCDX;BDX;AB;AX;ABX;CX;AX;AX;CDX;ABX;CX;ABCDX;ABCD;B;B;A;BCD;AX;CX;ABX;AD;DX;DX;BC;AX;BX;C;BX;CX;DX;BX;ABC;A;A;AC;B;D;CD;C;BCD;A;C;AD;ABCDX;B;BX;A;BX;AX;BDX;A;BX;ADX;B;ABD;ABDX;AD;BCDX;AC;ABCDX;AX;ABCD;DX
LEK;11;Adam;Mikroskop;23;23;AX;AX;C;B;BX;AB;BX;ABCX;DX;A;AC;CX;BX;BC;AX;AX;AD;AX;ABX;ACDX;AX;AX;AD;A;C;AB;ABC;ADX;CDX;ABX;AC;D;ACD;AX;C;AX;A;ABCDX;BDX;A;AX;ABD;CX;AX;AX;CDX;BD;D;ABCDX;BDX;BDX;B;DX;AB;AX;B;A;BD;AD;CD;BC;C;BX;DX;BX;CX;DX;BX;ACX;C;A;AB;C;A;BCD;BC;ACD;BX;AC;A;BCD;AX;BC;DX;D;AC;D;A;BX;D;AD;AD;AD;CD;CD;AB;ABC;D;A;DX
LEK;11;Adéla;Periskopová;24;24;AX;AX;BX;AX;BX;AX;BX;ABCX;DX;ADX;A;CX;A;ABCDX;B;AX;AX;AC;ABX;AD;AX;AX;ABDX;CX;AX;ABCD;ACX;ADX;CDX;ABX;BCX;ACX;A;AX;BX;AX;BC;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;ABX;CX;C;BDX;BDX;ABX;DX;D;C;CX;ABX;ABDX;DX;DX;AB;AX;BX;DX;A;CX;DX;C;AB;DX;BX;C;DX;BX;ACD;ACD;ACX;D;BDX;ABDX;B;AX;BX;DX;BX;AX;BDX;ACX;BX;ADX;DX;ABD;ABDX;ACDX;BD;ABCX;ABCDX;AX;A;DX
LEK;11;Adam;Mikroskop;25;25;AX;AX;D;C;BX;AX;BX;ABCX;DX;C;B;CX;A;B;AX;D;AX;B;B;AC;AX;AX;D;A;C;A;ABC;AB;C;ABD;BCX;B;D;AX;A;AX;BD;ABCDX;BDX;A;B;ABX;D;C;AX;D;ABX;CX;ABC;BDX;D;A;C;BD;C;B;ABX;ABDX;AD;AD;B;AX;BX;DX;C;CX;DX;C;CD;C;BX;B;A;D;ACX;ACD;ACX;A;BDX;D;B;D;D;A;D;AX;AD;A;BX;C;B;ABD;ABDX;CD;D;B;ABCDX;AX;A;DX
LEK;11;Adéla;Periskopová;26;26;C;AX;D;AB;BX;AB;AB;ABCX;B;ADX;D;B;C;B;AX;D;AX;D;BD;AC;AX;AX;ACD;AB;AX;AB;ACX;ADX;D;ABD;BCX;A;ACD;D;BX;AX;BX;ABD;D;BX;AX;B;CX;C;B;D;BC;CX;ABCDX;AB;BDX;B;AB;BC;AX;CX;ABX;ABDX;DX;AD;AB;B;BX;DX;BX;CX;DX;C;BC;C;D;C;DX;D;ACD;ABCD;ACX;A;BDX;AD;BCD;AX;AB;B;C;AX;BDX;A;BX;ADX;DX;BCD;ABDX;C;BCDX;B;ABD;C;B;DX
LEK;11;Adam;Mikroskop;27;27;AB;AX;BX;C;C;AX;CD;ABCX;B;BCD;CD;D;AB;A;C;D;B;AC;A;A;ABC;C;D;D;CD;C;ABC;A;C;ABD;AC;B;CD;C;AB;B;C;ABD;ABCD;A;ABC;ABX;D;B;AX;BCD;B;D;C;BDX;BDX;B;B;BD;AX;CX;BC;AD;AD;AD;ABCX;B;BX;ABD;A;CX;DX;ABD;BC;A;D;BC;C;D;AB;BCD;ACX;A;BDX;ABDX;BC;C;A;DX;C;D;CD;AB;AD;B;B;BC;ABC;BC;BCDX;C;ABCDX;D;ACD;ACD
LEK;11;Adéla;Periskopová;28;28;AX;D;BX;C;BX;ABC;BX;ABCD;DX;BCD;AD;CX;A;ABCDX;AX;D;AD;AX;ABX;AD;AX;AX;AD;CX;CD;C;ABC;ADX;CDX;BD;CD;ACX;ACX;AX;BX;B;BX;ABCDX;BDX;BX;AX;ABD;CX;AX;AX;CDX;ABX;CX;ABCDX;AB;C;B;DX;ABC;ABC;CX;ABX;ACD;DX;AB;BD;C;BD;C;BX;B;DX;BX;A;DX;C;C;DX;BX;C;CD;B;AD;B;BD;D;D;BX;DX;BX;AX;B;A;A;A;A;ABD;BC;A;CD;A;ABD;D;ABCX;DX
LEK;11;Adam;Mikroskop;29;29;AX;AX;C;AX;BX;AX;BC;ABCX;DX;A;AB;CX;A;ABCDX;AX;AX;AX;AX;A;A;AX;AX;ABDX;CX;CD;ACD;ACX;AB;CDX;D;C;ACX;ABCD;AX;BX;AX;BX;ABCDX;BDX;BX;AX;D;CX;AX;AX;ACD;ABX;CX;A;ABD;BDX;ABX;C;BD;C;CX;A;BD;DX;BD;AB;C;BX;DX;BD;CX;DX;C;BC;B;C;C;C;BX;ACX;C;B;BX;A;D;B;C;BX;DX;BX;AD;BDX;ACX;AB;ADX;DX;ABCDX;ABDX;CD;BCDX;A;ABCDX;AX;ACD;DX
LEK;11;Adéla;Periskopová;30;30;AX;AX;BX;AX;BX;AX;BX;BC;DX;ADX;ABDX;CX;BX;ABCDX;AX;AX;AX;AX;ABX;ACDX;AX;AX;AD;CX;AX;ABCX;AD;ADX;CDX;ABX;BCX;ACX;ACX;AX;BX;AX;BX;ABCDX;BDX;BX;AX;ABX;CX;B;AX;CDX;ABX;D;ABCDX;BDX;BDX;B;DX;BCD;AX;CX;ABX;ABDX;DX;DX;AB;B;BX;A;A;D;DX;AB;BC;DX;BX;B;DX;A;AD;C;BCD;A;B;BD;BD;B;BX;DX;BX;AX;D;A;AB;C;B;B;BD;CD;C;B;D;AX;ABCX;DX
